Vardas         Pavarde        Galutinis (Vid.)  Galutinis (Med.)  
Vardas1196     Pavarde1196    8.04              7.00              
Vardas1661     Pavarde1661    8.04              7.00              
Vardas4377     Pavarde4377    8.04              9.00              
Vardas1868     Pavarde1868    8.04              8.00              
Vardas2013     Pavarde2013    8.04              6.00              
Vardas7676     Pavarde7676    8.04              7.00              
Vardas4583     Pavarde4583    8.04              9.00              
Vardas8090     Pavarde8090    8.04              7.00              
Vardas2238     Pavarde2238    8.04              8.00              
Vardas5227     Pavarde5227    8.04              7.00              
Vardas7742     Pavarde7742    8.04              7.00              
Vardas7492     Pavarde7492    8.04              7.00              
Vardas4030     Pavarde4030    8.04              7.00              
Vardas9642     Pavarde9642    8.04              5.00              
Vardas1558     Pavarde1558    8.04              8.00              
Vardas8120     Pavarde8120    8.04              8.00              
Vardas5077     Pavarde5077    8.04              10.00             
Vardas6596     Pavarde6596    8.04              8.00              
Vardas8828     Pavarde8828    8.04              7.00              
Vardas1149     Pavarde1149    8.04              7.00              
Vardas2519     Pavarde2519    8.04              7.00              
Vardas9748     Pavarde9748    8.04              8.00              
Vardas4792     Pavarde4792    8.04              7.00              
Vardas5163     Pavarde5163    8.00              6.00              
Vardas5377     Pavarde5377    8.00              5.00              
Vardas4455     Pavarde4455    8.00              5.00              
Vardas6538     Pavarde6538    8.00              6.00              
Vardas3421     Pavarde3421    8.00              5.00              
Vardas1486     Pavarde1486    8.00              8.00              
Vardas3465     Pavarde3465    8.00              5.00              
Vardas718      Pavarde718     8.00              9.00              
Vardas6181     Pavarde6181    8.00              5.00              
Vardas9514     Pavarde9514    8.00              5.00              
Vardas8671     Pavarde8671    8.00              5.00              
Vardas8144     Pavarde8144    8.00              9.00              
Vardas906      Pavarde906     8.00              3.00              
Vardas2992     Pavarde2992    8.00              4.00              
Vardas957      Pavarde957     8.00              5.00              
Vardas309      Pavarde309     8.00              4.00              
Vardas3649     Pavarde3649    8.00              6.00              
Vardas3070     Pavarde3070    8.00              6.00              
Vardas9950     Pavarde9950    8.00              4.00              
Vardas1439     Pavarde1439    8.00              3.00              
Vardas3231     Pavarde3231    8.00              4.00              
Vardas2337     Pavarde2337    8.00              5.00              
Vardas5507     Pavarde5507    8.00              3.00              
Vardas2065     Pavarde2065    8.00              5.00              
Vardas7508     Pavarde7508    8.00              3.00              
Vardas3519     Pavarde3519    8.00              7.00              
Vardas2421     Pavarde2421    8.00              5.00              
Vardas1594     Pavarde1594    8.00              4.00              
Vardas7593     Pavarde7593    8.00              4.00              
Vardas6754     Pavarde6754    8.00              5.00              
Vardas2533     Pavarde2533    8.00              4.00              
Vardas1086     Pavarde1086    8.00              5.00              
Vardas1161     Pavarde1161    8.00              6.00              
Vardas5804     Pavarde5804    8.00              8.00              
Vardas4538     Pavarde4538    8.00              5.00              
Vardas2734     Pavarde2734    8.00              6.00              
Vardas510      Pavarde510     8.00              5.00              
Vardas6284     Pavarde6284    8.00              10.00             
Vardas2748     Pavarde2748    8.00              6.00              
Vardas7998     Pavarde7998    8.00              4.00              
Vardas9611     Pavarde9611    8.00              4.00              
Vardas8535     Pavarde8535    8.00              4.00              
Vardas5938     Pavarde5938    8.00              6.00              
Vardas9112     Pavarde9112    8.00              6.00              
Vardas467      Pavarde467     8.00              6.00              
Vardas9590     Pavarde9590    8.00              4.00              
Vardas6815     Pavarde6815    8.00              5.00              
Vardas2577     Pavarde2577    8.00              5.00              
Vardas9598     Pavarde9598    8.00              9.00              
Vardas2153     Pavarde2153    7.96              10.00             
Vardas5686     Pavarde5686    7.96              7.00              
Vardas4605     Pavarde4605    7.96              6.00              
Vardas509      Pavarde509     7.96              7.00              
Vardas4002     Pavarde4002    7.96              7.00              
Vardas4778     Pavarde4778    7.96              7.00              
Vardas4267     Pavarde4267    7.96              6.00              
Vardas6019     Pavarde6019    7.96              7.00              
Vardas4829     Pavarde4829    7.96              6.00              
Vardas5985     Pavarde5985    7.96              6.00              
Vardas6505     Pavarde6505    7.96              6.00              
Vardas1608     Pavarde1608    7.96              5.00              
Vardas2896     Pavarde2896    7.96              6.00              
Vardas783      Pavarde783     7.96              7.00              
Vardas6364     Pavarde6364    7.96              8.00              
Vardas720      Pavarde720     7.96              6.00              
Vardas6948     Pavarde6948    7.96              6.00              
Vardas4862     Pavarde4862    7.96              6.00              
Vardas213      Pavarde213     7.96              6.00              
Vardas8609     Pavarde8609    7.96              6.00              
Vardas2839     Pavarde2839    7.96              8.00              
Vardas2489     Pavarde2489    7.96              5.00              
Vardas651      Pavarde651     7.96              7.00              
Vardas5236     Pavarde5236    7.96              6.00              
Vardas1760     Pavarde1760    7.96              6.00              
Vardas2433     Pavarde2433    7.96              7.00              
Vardas416      Pavarde416     7.96              6.00              
Vardas4431     Pavarde4431    7.96              6.00              
Vardas6722     Pavarde6722    7.96              6.00              
Vardas5759     Pavarde5759    7.96              9.00              
Vardas7855     Pavarde7855    7.96              8.00              
Vardas2432     Pavarde2432    7.96              5.00              
Vardas7702     Pavarde7702    7.96              6.00              
Vardas1677     Pavarde1677    7.96              6.00              
Vardas7082     Pavarde7082    7.96              6.00              
Vardas2469     Pavarde2469    7.96              6.00              
Vardas1668     Pavarde1668    7.96              7.00              
Vardas9802     Pavarde9802    7.96              8.00              
Vardas8105     Pavarde8105    7.96              7.00              
Vardas3908     Pavarde3908    7.96              7.00              
Vardas8712     Pavarde8712    7.96              7.00              
Vardas5405     Pavarde5405    7.92              4.00              
Vardas1143     Pavarde1143    7.92              8.00              
Vardas8599     Pavarde8599    7.92              5.00              
Vardas6014     Pavarde6014    7.92              4.00              
Vardas8806     Pavarde8806    7.92              8.00              
Vardas8166     Pavarde8166    7.92              6.00              
Vardas9523     Pavarde9523    7.92              4.00              
Vardas1160     Pavarde1160    7.92              5.00              
Vardas6999     Pavarde6999    7.92              8.00              
Vardas2392     Pavarde2392    7.92              5.00              
Vardas1342     Pavarde1342    7.92              5.00              
Vardas9223     Pavarde9223    7.92              9.00              
Vardas1260     Pavarde1260    7.92              3.00              
Vardas7934     Pavarde7934    7.92              5.00              
Vardas6694     Pavarde6694    7.92              3.00              
Vardas2298     Pavarde2298    7.92              2.00              
Vardas5133     Pavarde5133    7.92              8.00              
Vardas9954     Pavarde9954    7.92              9.00              
Vardas3681     Pavarde3681    7.92              4.00              
Vardas6988     Pavarde6988    7.92              5.00              
Vardas5259     Pavarde5259    7.92              3.00              
Vardas8646     Pavarde8646    7.92              4.00              
Vardas5362     Pavarde5362    7.92              5.00              
Vardas5087     Pavarde5087    7.92              5.00              
Vardas3586     Pavarde3586    7.92              9.00              
Vardas6038     Pavarde6038    7.92              3.00              
Vardas173      Pavarde173     7.92              6.00              
Vardas9793     Pavarde9793    7.92              4.00              
Vardas7959     Pavarde7959    7.92              3.00              
Vardas7355     Pavarde7355    7.92              5.00              
Vardas3517     Pavarde3517    7.92              5.00              
Vardas7437     Pavarde7437    7.92              2.00              
Vardas3496     Pavarde3496    7.92              4.00              
Vardas1179     Pavarde1179    7.92              5.00              
Vardas7162     Pavarde7162    7.92              3.00              
Vardas2009     Pavarde2009    7.92              9.00              
Vardas3261     Pavarde3261    7.92              3.00              
Vardas1649     Pavarde1649    7.92              2.00              
Vardas5480     Pavarde5480    7.92              5.00              
Vardas8136     Pavarde8136    7.92              5.00              
Vardas9486     Pavarde9486    7.92              4.00              
Vardas5779     Pavarde5779    7.92              3.00              
Vardas928      Pavarde928     7.92              9.00              
Vardas4681     Pavarde4681    7.92              9.00              
Vardas5513     Pavarde5513    7.92              3.00              
Vardas335      Pavarde335     7.92              4.00              
Vardas6508     Pavarde6508    7.92              4.00              
Vardas8916     Pavarde8916    7.92              5.00              
Vardas5734     Pavarde5734    7.92              6.00              
Vardas459      Pavarde459     7.92              5.00              
Vardas6384     Pavarde6384    7.92              3.00              
Vardas6287     Pavarde6287    7.92              6.00              
Vardas6001     Pavarde6001    7.92              4.00              
Vardas8332     Pavarde8332    7.92              6.00              
Vardas2549     Pavarde2549    7.92              5.00              
Vardas5611     Pavarde5611    7.92              4.00              
Vardas5607     Pavarde5607    7.92              8.00              
Vardas6975     Pavarde6975    7.92              3.00              
Vardas5935     Pavarde5935    7.92              6.00              
Vardas5647     Pavarde5647    7.92              5.00              
Vardas4291     Pavarde4291    7.92              4.00              
Vardas2636     Pavarde2636    7.92              5.00              
Vardas4606     Pavarde4606    7.92              4.00              
Vardas4165     Pavarde4165    7.92              3.00              
Vardas6305     Pavarde6305    7.92              4.00              
Vardas8074     Pavarde8074    7.88              6.00              
Vardas701      Pavarde701     7.88              6.00              
Vardas135      Pavarde135     7.88              7.00              
Vardas3708     Pavarde3708    7.88              7.00              
Vardas150      Pavarde150     7.88              5.00              
Vardas4200     Pavarde4200    7.88              5.00              
Vardas892      Pavarde892     7.88              6.00              
Vardas4224     Pavarde4224    7.88              7.00              
Vardas7795     Pavarde7795    7.88              7.00              
Vardas429      Pavarde429     7.88              7.00              
Vardas2493     Pavarde2493    7.88              6.00              
Vardas5731     Pavarde5731    7.88              5.00              
Vardas2817     Pavarde2817    7.88              8.00              
Vardas9780     Pavarde9780    7.88              6.00              
Vardas4905     Pavarde4905    7.88              7.00              
Vardas7156     Pavarde7156    7.88              8.00              
Vardas495      Pavarde495     7.88              6.00              
Vardas6746     Pavarde6746    7.88              6.00              
Vardas8016     Pavarde8016    7.88              7.00              
Vardas827      Pavarde827     7.88              7.00              
Vardas6253     Pavarde6253    7.88              8.00              
Vardas5878     Pavarde5878    7.88              8.00              
Vardas4649     Pavarde4649    7.88              8.00              
Vardas4022     Pavarde4022    7.88              7.00              
Vardas7997     Pavarde7997    7.88              9.00              
Vardas810      Pavarde810     7.88              6.00              
Vardas3223     Pavarde3223    7.88              5.00              
Vardas4965     Pavarde4965    7.88              6.00              
Vardas9945     Pavarde9945    7.88              6.00              
Vardas5556     Pavarde5556    7.88              6.00              
Vardas7814     Pavarde7814    7.88              6.00              
Vardas7907     Pavarde7907    7.88              6.00              
Vardas4960     Pavarde4960    7.88              8.00              
Vardas5518     Pavarde5518    7.88              6.00              
Vardas7499     Pavarde7499    7.88              6.00              
Vardas3494     Pavarde3494    7.88              6.00              
Vardas311      Pavarde311     7.88              6.00              
Vardas4504     Pavarde4504    7.88              8.00              
Vardas1552     Pavarde1552    7.88              9.00              
Vardas2090     Pavarde2090    7.88              5.00              
Vardas8834     Pavarde8834    7.88              7.00              
Vardas4427     Pavarde4427    7.88              6.00              
Vardas9799     Pavarde9799    7.88              6.00              
Vardas5600     Pavarde5600    7.88              7.00              
Vardas1664     Pavarde1664    7.88              6.00              
Vardas1884     Pavarde1884    7.84              4.00              
Vardas3906     Pavarde3906    7.84              9.00              
Vardas4879     Pavarde4879    7.84              8.00              
Vardas4473     Pavarde4473    7.84              6.00              
Vardas4249     Pavarde4249    7.84              7.00              
Vardas2699     Pavarde2699    7.84              5.00              
Vardas1560     Pavarde1560    7.84              8.00              
Vardas8809     Pavarde8809    7.84              4.00              
Vardas8870     Pavarde8870    7.84              3.00              
Vardas5064     Pavarde5064    7.84              5.00              
Vardas9147     Pavarde9147    7.84              3.00              
Vardas4398     Pavarde4398    7.84              6.00              
Vardas4654     Pavarde4654    7.84              6.00              
Vardas5995     Pavarde5995    7.84              4.00              
Vardas3403     Pavarde3403    7.84              4.00              
Vardas2399     Pavarde2399    7.84              5.00              
Vardas1537     Pavarde1537    7.84              8.00              
Vardas1715     Pavarde1715    7.84              4.00              
Vardas3387     Pavarde3387    7.84              3.00              
Vardas1500     Pavarde1500    7.84              4.00              
Vardas8853     Pavarde8853    7.84              5.00              
Vardas7729     Pavarde7729    7.84              10.00             
Vardas2332     Pavarde2332    7.84              8.00              
Vardas5609     Pavarde5609    7.84              4.00              
Vardas9042     Pavarde9042    7.84              4.00              
Vardas2917     Pavarde2917    7.84              4.00              
Vardas6077     Pavarde6077    7.84              3.00              
Vardas8504     Pavarde8504    7.84              4.00              
Vardas5576     Pavarde5576    7.84              8.00              
Vardas2871     Pavarde2871    7.84              4.00              
Vardas3809     Pavarde3809    7.84              3.00              
Vardas3108     Pavarde3108    7.84              5.00              
Vardas5585     Pavarde5585    7.84              9.00              
Vardas3546     Pavarde3546    7.84              5.00              
Vardas4995     Pavarde4995    7.84              4.00              
Vardas9564     Pavarde9564    7.84              3.00              
Vardas2819     Pavarde2819    7.84              4.00              
Vardas1883     Pavarde1883    7.84              4.00              
Vardas2809     Pavarde2809    7.84              7.00              
Vardas9607     Pavarde9607    7.84              4.00              
Vardas2944     Pavarde2944    7.84              8.00              
Vardas5295     Pavarde5295    7.84              4.00              
Vardas3236     Pavarde3236    7.84              4.00              
Vardas8748     Pavarde8748    7.84              5.00              
Vardas3487     Pavarde3487    7.84              4.00              
Vardas3256     Pavarde3256    7.84              5.00              
Vardas6341     Pavarde6341    7.84              9.00              
Vardas2742     Pavarde2742    7.84              4.00              
Vardas4911     Pavarde4911    7.84              6.00              
Vardas4627     Pavarde4627    7.84              4.00              
Vardas373      Pavarde373     7.84              9.00              
Vardas667      Pavarde667     7.84              8.00              
Vardas4610     Pavarde4610    7.84              9.00              
Vardas6915     Pavarde6915    7.84              8.00              
Vardas4757     Pavarde4757    7.84              3.00              
Vardas709      Pavarde709     7.84              4.00              
Vardas7535     Pavarde7535    7.84              4.00              
Vardas506      Pavarde506     7.84              4.00              
Vardas4506     Pavarde4506    7.84              8.00              
Vardas6986     Pavarde6986    7.84              5.00              
Vardas9981     Pavarde9981    7.84              4.00              
Vardas121      Pavarde121     7.84              8.00              
Vardas4659     Pavarde4659    7.84              3.00              
Vardas3012     Pavarde3012    7.80              6.00              
Vardas4685     Pavarde4685    7.80              7.00              
Vardas4854     Pavarde4854    7.80              6.00              
Vardas7736     Pavarde7736    7.80              7.00              
Vardas3079     Pavarde3079    7.80              4.00              
Vardas3078     Pavarde3078    7.80              6.00              
Vardas6964     Pavarde6964    7.80              6.00              
Vardas6654     Pavarde6654    7.80              4.00              
Vardas1035     Pavarde1035    7.80              7.00              
Vardas8489     Pavarde8489    7.80              7.00              
Vardas3883     Pavarde3883    7.80              6.00              
Vardas1762     Pavarde1762    7.80              6.00              
Vardas6730     Pavarde6730    7.80              7.00              
Vardas9822     Pavarde9822    7.80              8.00              
Vardas1783     Pavarde1783    7.80              8.00              
Vardas8642     Pavarde8642    7.80              6.00              
Vardas1969     Pavarde1969    7.80              6.00              
Vardas9399     Pavarde9399    7.80              8.00              
Vardas2936     Pavarde2936    7.80              4.00              
Vardas7678     Pavarde7678    7.80              5.00              
Vardas5006     Pavarde5006    7.80              7.00              
Vardas8545     Pavarde8545    7.80              5.00              
Vardas4567     Pavarde4567    7.80              5.00              
Vardas1230     Pavarde1230    7.80              5.00              
Vardas4561     Pavarde4561    7.80              6.00              
Vardas4562     Pavarde4562    7.80              5.00              
Vardas9717     Pavarde9717    7.80              8.00              
Vardas6113     Pavarde6113    7.80              7.00              
Vardas290      Pavarde290     7.80              6.00              
Vardas9958     Pavarde9958    7.80              5.00              
Vardas9704     Pavarde9704    7.80              8.00              
Vardas1557     Pavarde1557    7.80              6.00              
Vardas4738     Pavarde4738    7.80              5.00              
Vardas5204     Pavarde5204    7.80              5.00              
Vardas4413     Pavarde4413    7.80              4.00              
Vardas8885     Pavarde8885    7.80              7.00              
Vardas2255     Pavarde2255    7.80              6.00              
Vardas5191     Pavarde5191    7.80              6.00              
Vardas8420     Pavarde8420    7.80              6.00              
Vardas8585     Pavarde8585    7.80              6.00              
Vardas4311     Pavarde4311    7.80              4.00              
Vardas9169     Pavarde9169    7.80              7.00              
Vardas6061     Pavarde6061    7.80              8.00              
Vardas2322     Pavarde2322    7.80              7.00              
Vardas6043     Pavarde6043    7.80              6.00              
Vardas696      Pavarde696     7.80              6.00              
Vardas4151     Pavarde4151    7.80              5.00              
Vardas4808     Pavarde4808    7.80              5.00              
Vardas1007     Pavarde1007    7.80              5.00              
Vardas3369     Pavarde3369    7.80              8.00              
Vardas5151     Pavarde5151    7.80              8.00              
Vardas2413     Pavarde2413    7.80              7.00              
Vardas3621     Pavarde3621    7.80              7.00              
Vardas8109     Pavarde8109    7.80              6.00              
Vardas2070     Pavarde2070    7.80              6.00              
Vardas1394     Pavarde1394    7.80              6.00              
Vardas8600     Pavarde8600    7.80              8.00              
Vardas2771     Pavarde2771    7.80              7.00              
Vardas3500     Pavarde3500    7.80              6.00              
Vardas6782     Pavarde6782    7.80              6.00              
Vardas7857     Pavarde7857    7.80              6.00              
Vardas4641     Pavarde4641    7.76              6.00              
Vardas5511     Pavarde5511    7.76              6.00              
Vardas7085     Pavarde7085    7.76              6.00              
Vardas6696     Pavarde6696    7.76              7.00              
Vardas4333     Pavarde4333    7.76              8.00              
Vardas583      Pavarde583     7.76              8.00              
Vardas3023     Pavarde3023    7.76              4.00              
Vardas328      Pavarde328     7.76              4.00              
Vardas3436     Pavarde3436    7.76              4.00              
Vardas1302     Pavarde1302    7.76              7.00              
Vardas5432     Pavarde5432    7.76              4.00              
Vardas1978     Pavarde1978    7.76              8.00              
Vardas4457     Pavarde4457    7.76              7.00              
Vardas9214     Pavarde9214    7.76              4.00              
Vardas568      Pavarde568     7.76              8.00              
Vardas8689     Pavarde8689    7.76              7.00              
Vardas8089     Pavarde8089    7.76              3.00              
Vardas2138     Pavarde2138    7.76              4.00              
Vardas9698     Pavarde9698    7.76              7.00              
Vardas6493     Pavarde6493    7.76              8.00              
Vardas1947     Pavarde1947    7.76              4.00              
Vardas3542     Pavarde3542    7.76              3.00              
Vardas2973     Pavarde2973    7.76              8.00              
Vardas7310     Pavarde7310    7.76              3.00              
Vardas1542     Pavarde1542    7.76              4.00              
Vardas6541     Pavarde6541    7.76              4.00              
Vardas376      Pavarde376     7.76              9.00              
Vardas2784     Pavarde2784    7.76              4.00              
Vardas2071     Pavarde2071    7.76              4.00              
Vardas8335     Pavarde8335    7.76              8.00              
Vardas5579     Pavarde5579    7.76              3.00              
Vardas3469     Pavarde3469    7.76              4.00              
Vardas7861     Pavarde7861    7.76              4.00              
Vardas347      Pavarde347     7.76              3.00              
Vardas3148     Pavarde3148    7.76              8.00              
Vardas209      Pavarde209     7.76              4.00              
Vardas4937     Pavarde4937    7.76              7.00              
Vardas8493     Pavarde8493    7.76              3.00              
Vardas8753     Pavarde8753    7.76              9.00              
Vardas3025     Pavarde3025    7.76              4.00              
Vardas93       Pavarde93      7.76              6.00              
Vardas6196     Pavarde6196    7.76              4.00              
Vardas5754     Pavarde5754    7.76              4.00              
Vardas9320     Pavarde9320    7.76              3.00              
Vardas5165     Pavarde5165    7.76              4.00              
Vardas5774     Pavarde5774    7.76              9.00              
Vardas9195     Pavarde9195    7.76              9.00              
Vardas3418     Pavarde3418    7.76              2.00              
Vardas9323     Pavarde9323    7.76              4.00              
Vardas5043     Pavarde5043    7.76              8.00              
Vardas3988     Pavarde3988    7.76              4.00              
Vardas7949     Pavarde7949    7.76              5.00              
Vardas4173     Pavarde4173    7.76              4.00              
Vardas6363     Pavarde6363    7.76              4.00              
Vardas3459     Pavarde3459    7.76              4.00              
Vardas2204     Pavarde2204    7.76              6.00              
Vardas6518     Pavarde6518    7.76              7.00              
Vardas3283     Pavarde3283    7.76              5.00              
Vardas534      Pavarde534     7.76              3.00              
Vardas278      Pavarde278     7.76              8.00              
Vardas1912     Pavarde1912    7.76              4.00              
Vardas2942     Pavarde2942    7.76              8.00              
Vardas2730     Pavarde2730    7.76              4.00              
Vardas1549     Pavarde1549    7.76              2.00              
Vardas9093     Pavarde9093    7.76              4.00              
Vardas8996     Pavarde8996    7.72              9.00              
Vardas2709     Pavarde2709    7.72              4.00              
Vardas4453     Pavarde4453    7.72              4.00              
Vardas9343     Pavarde9343    7.72              7.00              
Vardas9081     Pavarde9081    7.72              5.00              
Vardas5896     Pavarde5896    7.72              6.00              
Vardas3634     Pavarde3634    7.72              8.00              
Vardas5890     Pavarde5890    7.72              7.00              
Vardas6887     Pavarde6887    7.72              7.00              
Vardas1736     Pavarde1736    7.72              6.00              
Vardas4288     Pavarde4288    7.72              6.00              
Vardas6140     Pavarde6140    7.72              5.00              
Vardas901      Pavarde901     7.72              6.00              
Vardas2768     Pavarde2768    7.72              6.00              
Vardas5508     Pavarde5508    7.72              7.00              
Vardas4108     Pavarde4108    7.72              5.00              
Vardas2688     Pavarde2688    7.72              6.00              
Vardas6100     Pavarde6100    7.72              7.00              
Vardas1316     Pavarde1316    7.72              6.00              
Vardas9526     Pavarde9526    7.72              6.00              
Vardas6524     Pavarde6524    7.72              6.00              
Vardas7747     Pavarde7747    7.72              8.00              
Vardas6138     Pavarde6138    7.72              7.00              
Vardas806      Pavarde806     7.72              5.00              
Vardas9275     Pavarde9275    7.72              7.00              
Vardas2000     Pavarde2000    7.72              5.00              
Vardas8218     Pavarde8218    7.72              5.00              
Vardas8479     Pavarde8479    7.72              6.00              
Vardas1980     Pavarde1980    7.72              5.00              
Vardas1105     Pavarde1105    7.72              5.00              
Vardas7852     Pavarde7852    7.72              6.00              
Vardas5702     Pavarde5702    7.72              4.00              
Vardas2892     Pavarde2892    7.72              5.00              
Vardas7539     Pavarde7539    7.72              6.00              
Vardas6338     Pavarde6338    7.72              7.00              
Vardas8366     Pavarde8366    7.72              6.00              
Vardas5978     Pavarde5978    7.72              5.00              
Vardas5141     Pavarde5141    7.72              6.00              
Vardas3140     Pavarde3140    7.72              7.00              
Vardas5193     Pavarde5193    7.72              5.00              
Vardas6214     Pavarde6214    7.72              6.00              
Vardas2651     Pavarde2651    7.72              6.00              
Vardas305      Pavarde305     7.72              7.00              
Vardas4301     Pavarde4301    7.72              5.00              
Vardas3136     Pavarde3136    7.72              6.00              
Vardas36       Pavarde36      7.72              6.00              
Vardas6492     Pavarde6492    7.72              5.00              
Vardas3543     Pavarde3543    7.72              5.00              
Vardas1408     Pavarde1408    7.72              7.00              
Vardas3624     Pavarde3624    7.72              6.00              
Vardas301      Pavarde301     7.72              5.00              
Vardas4313     Pavarde4313    7.72              6.00              
Vardas880      Pavarde880     7.72              4.00              
Vardas1634     Pavarde1634    7.72              6.00              
Vardas4903     Pavarde4903    7.72              7.00              
Vardas470      Pavarde470     7.72              5.00              
Vardas2380     Pavarde2380    7.72              6.00              
Vardas9389     Pavarde9389    7.72              7.00              
Vardas4120     Pavarde4120    7.72              6.00              
Vardas420      Pavarde420     7.72              5.00              
Vardas565      Pavarde565     7.72              7.00              
Vardas2614     Pavarde2614    7.72              6.00              
Vardas2908     Pavarde2908    7.72              6.00              
Vardas5274     Pavarde5274    7.72              4.00              
Vardas9592     Pavarde9592    7.72              5.00              
Vardas72       Pavarde72      7.68              8.00              
Vardas6797     Pavarde6797    7.68              2.00              
Vardas1568     Pavarde1568    7.68              4.00              
Vardas4582     Pavarde4582    7.68              8.00              
Vardas1663     Pavarde1663    7.68              7.00              
Vardas2024     Pavarde2024    7.68              4.00              
Vardas5980     Pavarde5980    7.68              8.00              
Vardas655      Pavarde655     7.68              9.00              
Vardas7184     Pavarde7184    7.68              4.00              
Vardas205      Pavarde205     7.68              8.00              
Vardas2182     Pavarde2182    7.68              7.00              
Vardas3640     Pavarde3640    7.68              5.00              
Vardas5799     Pavarde5799    7.68              3.00              
Vardas3171     Pavarde3171    7.68              8.00              
Vardas1671     Pavarde1671    7.68              5.00              
Vardas5540     Pavarde5540    7.68              9.00              
Vardas4632     Pavarde4632    7.68              8.00              
Vardas8475     Pavarde8475    7.68              3.00              
Vardas2393     Pavarde2393    7.68              7.00              
Vardas3144     Pavarde3144    7.68              2.00              
Vardas615      Pavarde615     7.68              8.00              
Vardas3301     Pavarde3301    7.68              9.00              
Vardas1886     Pavarde1886    7.68              4.00              
Vardas1122     Pavarde1122    7.68              2.00              
Vardas3482     Pavarde3482    7.68              5.00              
Vardas5335     Pavarde5335    7.68              2.00              
Vardas8596     Pavarde8596    7.68              4.00              
Vardas8447     Pavarde8447    7.68              7.00              
Vardas5101     Pavarde5101    7.68              4.00              
Vardas7576     Pavarde7576    7.68              9.00              
Vardas2290     Pavarde2290    7.68              4.00              
Vardas7277     Pavarde7277    7.68              3.00              
Vardas4363     Pavarde4363    7.68              4.00              
Vardas2975     Pavarde2975    7.68              10.00             
Vardas5795     Pavarde5795    7.68              3.00              
Vardas2834     Pavarde2834    7.68              8.00              
Vardas560      Pavarde560     7.68              9.00              
Vardas8172     Pavarde8172    7.68              4.00              
Vardas7286     Pavarde7286    7.68              5.00              
Vardas2974     Pavarde2974    7.68              6.00              
Vardas8322     Pavarde8322    7.68              7.00              
Vardas299      Pavarde299     7.68              5.00              
Vardas5020     Pavarde5020    7.68              4.00              
Vardas1944     Pavarde1944    7.68              7.00              
Vardas1939     Pavarde1939    7.68              3.00              
Vardas8027     Pavarde8027    7.68              8.00              
Vardas9869     Pavarde9869    7.68              8.00              
Vardas6400     Pavarde6400    7.68              4.00              
Vardas4083     Pavarde4083    7.68              3.00              
Vardas4116     Pavarde4116    7.68              4.00              
Vardas5334     Pavarde5334    7.68              3.00              
Vardas6179     Pavarde6179    7.68              9.00              
Vardas2114     Pavarde2114    7.68              8.00              
Vardas6683     Pavarde6683    7.68              5.00              
Vardas6728     Pavarde6728    7.68              9.00              
Vardas7397     Pavarde7397    7.68              5.00              
Vardas6521     Pavarde6521    7.68              4.00              
Vardas1809     Pavarde1809    7.68              9.00              
Vardas1466     Pavarde1466    7.68              3.00              
Vardas6371     Pavarde6371    7.64              9.00              
Vardas2443     Pavarde2443    7.64              9.00              
Vardas1125     Pavarde1125    7.64              8.00              
Vardas5478     Pavarde5478    7.64              10.00             
Vardas7494     Pavarde7494    7.64              7.00              
Vardas8797     Pavarde8797    7.64              5.00              
Vardas4166     Pavarde4166    7.64              6.00              
Vardas113      Pavarde113     7.64              5.00              
Vardas1877     Pavarde1877    7.64              7.00              
Vardas3984     Pavarde3984    7.64              6.00              
Vardas1456     Pavarde1456    7.64              6.00              
Vardas4443     Pavarde4443    7.64              6.00              
Vardas1670     Pavarde1670    7.64              7.00              
Vardas9029     Pavarde9029    7.64              4.00              
Vardas9787     Pavarde9787    7.64              4.00              
Vardas740      Pavarde740     7.64              7.00              
Vardas856      Pavarde856     7.64              5.00              
Vardas6023     Pavarde6023    7.64              5.00              
Vardas1488     Pavarde1488    7.64              6.00              
Vardas1657     Pavarde1657    7.64              6.00              
Vardas6592     Pavarde6592    7.64              4.00              
Vardas4156     Pavarde4156    7.64              5.00              
Vardas3282     Pavarde3282    7.64              7.00              
Vardas6885     Pavarde6885    7.64              6.00              
Vardas3651     Pavarde3651    7.64              5.00              
Vardas1640     Pavarde1640    7.64              7.00              
Vardas5525     Pavarde5525    7.64              7.00              
Vardas3677     Pavarde3677    7.64              4.00              
Vardas4803     Pavarde4803    7.64              3.00              
Vardas8597     Pavarde8597    7.64              7.00              
Vardas9048     Pavarde9048    7.64              6.00              
Vardas2812     Pavarde2812    7.64              5.00              
Vardas5501     Pavarde5501    7.64              5.00              
Vardas7000     Pavarde7000    7.64              6.00              
Vardas1689     Pavarde1689    7.64              7.00              
Vardas6206     Pavarde6206    7.64              5.00              
Vardas419      Pavarde419     7.64              5.00              
Vardas8930     Pavarde8930    7.64              4.00              
Vardas9928     Pavarde9928    7.64              5.00              
Vardas9352     Pavarde9352    7.64              5.00              
Vardas1801     Pavarde1801    7.64              6.00              
Vardas7051     Pavarde7051    7.64              8.00              
Vardas5939     Pavarde5939    7.64              7.00              
Vardas5874     Pavarde5874    7.64              5.00              
Vardas8444     Pavarde8444    7.64              6.00              
Vardas6690     Pavarde6690    7.64              5.00              
Vardas822      Pavarde822     7.64              4.00              
Vardas3571     Pavarde3571    7.64              8.00              
Vardas5571     Pavarde5571    7.64              6.00              
Vardas4769     Pavarde4769    7.64              7.00              
